pr,epoch,cohort,outcome,samples,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
0,0,fork,termination,429,234.62080885780887,184.949,364.634,493.732,5385.945
0,0,nonfork,finalization,7523,97.49353888076566,90.815,203.206,223.242,337.33
0,1,fork,termination,364,528.6123653846154,489.095,861.123,948.371,5123.585
0,1,nonfork,finalization,6684,286.8292066128067,271.092,507.419,655.412,1171.754
1,0,fork,termination,431,233.55809512761022,196.469,398.023,536.737,5140.301
1,0,nonfork,finalization,7523,100.10514648411538,92.066,184.572,223.209,354.556
1,1,fork,termination,362,500.9053784530387,499.207,807.849,921.591,1018.384
1,1,nonfork,finalization,6684,303.34719703770196,287.884,576.854,732.758,990.568
2,0,fork,termination,429,228.95210955710957,188.271,443.74,534.172,5468.685
2,0,nonfork,finalization,7523,95.91651149807257,89.801,164.937,275.823,360.636
2,1,fork,termination,364,506.0334010989011,490.832,827.865,963.693,1050.814
2,1,nonfork,finalization,6684,290.0150810891682,269.604,517.597,687.062,1017.31
3,0,fork,termination,431,302.09699535962875,198.787,542.648,3317.066,5457.168
3,0,nonfork,finalization,7523,109.00392316894856,95.407,240.739,282.597,613.483
3,1,fork,termination,362,507.9925662983426,489.135,823.302,937.305,996.383
3,1,nonfork,finalization,6684,294.743526331538,288.966,498.275,563.509,920.408
4,0,fork,termination,429,262.4125268065268,199.823,381.019,532.845,5547.133
4,0,nonfork,finalization,7523,99.2294916921441,91.213,182.991,238.922,354.563
4,1,fork,termination,364,504.61052747252745,501.548,796.505,874.885,1066.797
4,1,nonfork,finalization,6684,290.85520855774985,278.675,476.7,617.178,996.179
5,0,fork,termination,429,321.53623310023306,206.036,456.875,5131.934,5521.256
5,0,nonfork,finalization,7523,99.56402831317294,90.948,196.272,236.744,487.708
5,1,fork,termination,364,522.5063846153846,493.573,885.717,1003.616,1071.286
5,1,nonfork,finalization,6684,315.120447336924,302.065,637.376,732.412,1132.712
